id,category,name
62,solitaire,A-Maze
64,solitaire,A-Maze 4
1677,solitaire,A-Maze 4 Random
29,solitaire,A-Maze 5
65,solitaire,A-Maze 6
63,solitaire,A-Maze II
19,solitaire,A-Maze III
1173,solitaire,A-Maze Run
1208,solitaire,A-Maze Run II
66,solitaire,A-to-Z
1675,solitaire,Adding machine
1049,solitaire,Adec
1141,solitaire,Adec-Del
1050,solitaire,Adec-dia
1797,solitaire,AepasA Chess
67,solitaire,African Tour
3,solitaire,Alive
6,solitaire,Alive Auto
4,solitaire,Alive II
68,solitaire,All Setris
73,solitaire,Alternate
1869,solitaire,Anagram Crosswords
74,solitaire,Angel Maze
76,solitaire,Ant
77,solitaire,Ant II
1080,solitaire,Aperiodic Tilings
1132,solitaire,Area Solo
1343,solitaire,Area Solver
1715,solitaire,Arrowway
1485,solitaire,Asian Tour
78,solitaire,Atomic Puzzle
1452,solitaire,Axiom Development Kit
1502,solitaire,Axiom Made Easy
1741,solitaire,Axiomatic Bauhaus
1517,solitaire,Axiomatic ESP
1512,solitaire,Axiomatic Metronome
1509,solitaire,Axiomatic Timer
1404,checkmate,AAvant Chess
2072,checkmate,Abagoren Chess
38,checkmate,Abduction Chess
2092,checkmate,ABQ Chess
1612,checkmate,Accessory Chess
2086,checkmate,ACL Chess
1652,checkmate,Adjutant Chess
1931,checkmate,Advancing Chess (VRP)
1501,checkmate,AepasAs Chess
1810,checkmate,Aerial Chess 96
1407,checkmate,Airplane Chess
39,checkmate,Alekhine Chess
40,checkmate,Alice Chess
1029,checkmate,Alice Cubed
2096,checkmate,ALL Chess
41,checkmate,Almost Chess
1698,checkmate,Alpaca Chess
3002,checkmate,Alphabet Shogi (HOTIX)
3088,checkmate,AlphaZero Variants
1349,checkmate,Alseid Chess
1400,checkmate,Alternative Chess
1365,checkmate,Amazon Chess
1573,checkmate,AmazonA Chess
1586,checkmate,AmazonAs Chess
2048,checkmate,Amazons Chess
2052,checkmate,Amazons D�mA
1055,checkmate,Ambi-Chess
1484,checkmate,Ambiguous Chess
1316,checkmate,Amiral Chess
1888,checkmate,Ancient Shogi
2380,checkmate,Ancient shogi revised
1733,checkmate,Andalusia
3053,checkmate,Andernach Chess
2859,checkmate,Andernach Shogi
1436,checkmate,AndrAs Chess
1422,checkmate,Angel Chess
42,checkmate,Angle Chess
2712,checkmate,AnHoku Shogi
2715,checkmate,AnKi Shogi
2705,checkmate,AnNan Shogi
2849,checkmate,Anonymous Shogi
1660,checkmate,Anthony Chess
3061,checkmate,Anti Kiki AnNan Shogi
3071,checkmate,Anti Kiki Position Shogi
43,checkmate,Anti-King Chess
3049,checkmate,AntiCirce Chess Remaining
3048,checkmate,AntiCirce Chess Type Calvet
3047,checkmate,AntiCirce Chess Type Cheylan
2724,checkmate,AntiCirce Shogi
2710,checkmate,AnToZai Shogi
3073,checkmate,AnZen Shogi
2885,checkmate,AoZora Chu Shogi
1440,checkmate,Archbishop Chess Variants
1882,checkmate,ArenA Chess
3074,checkmate,Around Position Shogi
1707,checkmate,Arrangement Chess
2248,checkmate,As [Double Dropes] Chess
2249,checkmate,As [Double Zones] Chess
2235,checkmate,As [Dropes] Chess
2261,checkmate,As [Dual Dropes] Chess
2260,checkmate,As [Dual Zones] Chess
2326,checkmate,As [KosovA & T�rkiye Dropes] Chess
2354,checkmate,As [KosovA & T�rkiye Dropes] D�mA
2327,checkmate,As [KosovA & T�rkiye Zones] Chess
2355,checkmate,As [KosovA & T�rkiye Zones] D�mA
2341,checkmate,As [KosovAs & Turkish Dropes] Chess
2353,checkmate,As [KosovAs & Turkish Dropes] D�mA
2342,checkmate,As [KosovAs & Turkish Zones] Chess
2352,checkmate,As [KosovAs & Turkish Zones] D�mA
2290,checkmate,As [Marble & Rubble Dropes] Chess
2293,checkmate,As [Marble & Rubble Zones] Chess
2301,checkmate,As [Pawn & Pawn Dropes] Chess
2304,checkmate,As [Pawn & Pawn Zones] Chess
2314,checkmate,As [Pion & Pion Dropes] Chess
2320,checkmate,As [Pion & Pion Zones] Chess
2236,checkmate,As [Zones] Chess
2877,checkmate,Asakura Shogi
2044,checkmate,Ascension Chess
3173,checkmate,Asean Chess
44,checkmate,Assimilation Chess
82,checkmate,Assimilation Fusion Chess
1877,checkmate,Astralschach
1885,checkmate,Astralschach Enhanced
1638,checkmate,Asylum Chess
1734,checkmate,Asylum Redux
3054,checkmate,Asymmetric Chess
3072,checkmate,Asymmetric Chess 2
2250,checkmate,At [Double Dropes] Chess
2251,checkmate,At [Double Zones] Chess
2237,checkmate,At [Dropes] Chess
2259,checkmate,At [Dual Dropes] Chess
2258,checkmate,At [Dual Zones] Chess
2328,checkmate,At [KosovA & T�rkiye Dropes] Chess
